D. M. Wieliczka and S. Weng and M. R. Querry, "Wedge shaped cell for
highly absorbent liquids: infrared optical constants of water," Appl.
Opt., 28, 1714--1719, (1989).

wavelength	absorption
(nm)	(1/cm)
5120.3	272.42
5117.7	273.54
5115.1	274.42
5112.5	275.29
5109.9	276.42
5107.3	277.54
5104.6	278.67
5102.0	279.80
5099.4	280.93
5096.8	282.06
5094.2	283.19
5091.6	284.56
5089.1	285.70
5086.5	286.83
5083.9	287.97
5081.3	289.35
5078.7	290.48
5076.1	291.62
5073.6	292.76
5071.0	293.90
5068.4	295.29
5065.9	296.43
5063.3	297.57
5060.7	298.72
5058.2	299.86
5055.6	301.01
5053.1	302.16
5050.5	303.30
5048.0	304.45
5045.4	305.60
5042.9	306.75
5040.3	307.66
5037.8	308.56
5035.2	309.46
5032.7	310.37
5030.2	311.52
5027.7	312.68
5025.1	313.59
5022.6	315.00
5020.1	316.16
5017.6	317.07
5015.0	318.23
5012.5	319.14
5010.0	320.30
5007.5	321.22
5005.0	322.38
5002.5	323.30
5000.0	324.46
4997.5	325.13
4995.0	326.30
4992.5	327.47
4990.0	328.39
4987.5	329.56
4985.0	330.98
4982.6	331.90
4980.1	332.83
4977.6	333.50
4975.1	334.42
4972.7	335.35
4970.2	336.27
4967.7	336.94
4965.2	338.12
4962.8	338.80
4960.3	339.47
4957.9	340.65
4955.4	341.58
4952.9	342.26
4950.5	343.45
4948.0	344.38
4945.6	345.56
4943.2	346.75
4940.7	348.20
4938.3	349.39
4935.8	350.83
4933.4	351.77
4931.0	353.47
4928.5	354.92
4926.1	356.37
4923.7	357.57
4921.3	358.51
4918.8	359.71
4916.4	360.91
4914.0	362.11
4911.6	362.80
4909.2	364.25
4906.8	365.71
4904.4	366.66
4902.0	367.61
4899.6	369.07
4897.2	370.28
4894.8	370.98
4892.4	372.44
4890.0	373.39
4887.6	374.86
4885.2	375.82
4882.8	377.03
4880.4	377.99
4878.0	378.94
4875.7	380.16
4873.3	381.38
4870.9	382.08
4868.5	383.04
4866.2	384.00
4863.8	384.45
4861.4	385.67
4859.1	386.63
4856.7	387.59
4854.4	388.30
4852.0	389.78
4849.7	390.75
4847.3	391.98
4845.0	392.95
4842.6	394.17
4840.3	395.14
4837.9	395.85
4835.6	397.08
4833.3	397.80
4830.9	398.77
4828.6	399.22
4826.3	399.94
4823.9	400.91
4821.6	401.63
4819.3	402.60
4817.0	403.06
4814.6	403.25
4812.3	403.71
4810.0	404.42
4807.7	404.88
4805.4	405.33
4803.1	405.79
4800.8	406.25
4798.5	406.44
4796.2	407.42
4793.9	407.88
4791.6	408.60
4789.3	408.53
4787.0	408.73
4784.7	408.66
4782.4	408.86
4780.1	409.05
4777.8	408.99
4775.5	409.18
4773.3	409.38
4771.0	410.10
4768.7	410.82
4766.4	411.02
4764.2	410.95
4761.9	411.15
4759.6	411.34
4757.4	411.80
4755.1	412.00
4752.9	411.93
4750.6	412.13
4748.3	412.32
4746.1	412.78
4743.8	412.98
4741.6	412.91
4739.3	412.57
4737.1	412.50
4734.8	412.43
4732.6	411.83
4730.4	411.76
4728.1	412.22
4725.9	412.42
4723.7	412.35
4721.4	412.81
4719.2	413.00
4717.0	413.20
4714.8	413.39
4712.5	413.59
4710.3	414.05
4708.1	414.51
4705.9	414.71
4703.7	414.90
4701.5	415.10
4699.2	415.02
4697.0	415.22
4694.8	415.15
4692.6	415.07
4690.4	414.46
4688.2	413.85
4686.0	413.24
4683.8	412.63
4681.6	412.02
4679.5	411.14
4677.3	410.53
4675.1	410.45
4672.9	409.83
4670.7	409.22
4668.5	408.87
4666.4	408.52
4664.2	408.18
4662.0	408.10
4659.8	408.56
4657.7	408.48
4655.5	408.40
4653.3	408.32
4651.2	407.70
4649.0	407.08
4646.8	406.99
4644.7	406.64
4642.5	406.29
4640.4	405.67
4638.2	405.04
4636.1	404.42
4633.9	403.52
4631.8	402.89
4629.6	401.99
4627.5	400.82
4625.3	399.92
4623.2	399.29
4621.1	398.11
4618.9	397.48
4616.8	396.58
4614.7	395.67
4612.5	394.76
4610.4	393.86
4608.3	393.49
4606.2	392.31
4604.1	391.40
4601.9	390.21
4599.8	389.03
4597.7	388.11
4595.6	387.20
4593.5	386.28
4591.4	385.09
4589.3	383.90
4587.2	382.98
4585.1	382.06
4583.0	381.41
4580.9	380.21
4578.8	379.01
4576.7	378.09
4574.6	377.16
4572.5	376.24
4570.4	375.31
4568.3	374.38
4566.2	373.18
4564.1	372.24
4562.0	371.31
4560.0	370.66
4557.9	369.72
4555.8	368.51
4553.7	367.02
4551.7	366.09
4549.6	365.15
4547.5	364.21
4545.5	363.54
4543.4	362.05
4541.3	360.83
4539.3	359.61
4537.2	358.94
4535.1	358.00
4533.1	357.33
4531.0	356.10
4529.0	355.16
4526.9	354.21
4524.9	353.53
4522.8	352.58
4520.8	351.91
4518.8	350.68
4516.7	349.72
4514.7	348.77
4512.6	348.09
4510.6	346.85
4508.6	345.62
4506.5	344.66
4504.5	343.69
4502.5	342.73
4500.5	342.05
4498.4	340.81
4496.4	339.28
4494.4	338.32
4492.4	337.35
4490.3	336.66
